No,Name,Team,G,PA,AB,R,H,1B,2B,3B,HR,RBI,HBP,BB,SO,SacB,SacF,SB,CS,AVG,OBP,SLG,OPS
20,Abel Martinez,Chill,9,19,15,2,1,1,0,0,0,1,0,3,7,0,1,0,0,0.067,0.211,0.067,0.277
17,Abraham Hernandez,LumberJacks,14,32,24,3,4,4,0,0,0,2,1,6,3,0,1,0,0,0.167,0.344,0.167,0.510
6,Adam Moser,A's,16,35,26,10,5,2,1,1,1,7,2,7,2,0,0,6,2,0.192,0.400,0.423,0.823
1,Aidan Arriaga,Blue Sox,16,40,31,6,9,9,0,0,0,6,0,9,2,0,0,2,1,0.290,0.450,0.290,0.740
35,Aidan Kelly,Blue Sox,13,31,27,9,7,6,1,0,0,1,2,2,7,0,0,0,0,0.259,0.355,0.296,0.651
6,Aidan Salazar,Bootleggers,10,23,22,4,7,6,1,0,0,2,0,1,11,0,0,0,0,0.318,0.348,0.364,0.711
6,Aiden Morton,Blue Sox,18,47,31,10,8,6,2,0,0,4,7,8,8,0,1,3,0,0.258,0.489,0.323,0.812
23,Alan Serna,Coyotes,9,24,17,3,5,4,1,0,0,7,0,7,3,0,0,1,1,0.294,0.500,0.353,0.853
24,Alec Correa,Green Dragons,16,30,23,2,2,2,0,0,0,4,0,7,15,0,0,1,1,0.087,0.300,0.087,0.387
4,Alex Glasscock,NorthStars,16,44,35,7,6,3,3,0,0,6,1,6,14,0,2,1,1,0.171,0.295,0.257,0.553
14,Alex Chacon,Bootleggers,15,40,32,10,9,6,3,0,0,7,4,4,6,0,0,0,0,0.281,0.425,0.375,0.800
5,Alex Hagan,A's,17,36,30,8,8,7,0,1,0,3,0,5,5,0,1,1,2,0.267,0.361,0.333,0.694
19,Alexander Johnson,Green Dragons,17,43,35,12,15,12,2,1,0,9,3,4,8,0,1,10,0,0.429,0.512,0.543,1.054
2,Alexander Weston,A's,14,32,22,2,2,2,0,0,0,4,3,7,9,0,0,0,0,0.091,0.375,0.091,0.466
